dongCode,dongName,convenience_store,education,caf?,restaurant,health,market,avg_diff_convenience_store,avg_diff_education,avg_diff_caf?,avg_diff_restaurant,avg_diff_health,avg_diff_market,label_id
1120010300,홍익동,2,6,8,181,2,2,-13,-47,-46,-2064,-9,-6,NULL
1120010400,도선동,5,11,16,420,9,7,-10,-42,-38,-1825,-2,-1,NULL
1120010500,마장동,16,32,21,761,5,9,1,-21,-33,-1484,-6,1,001
1120010600,사근동,10,16,14,156,2,5,-5,-37,-40,-2089,-9,-3,NULL
1120010700,행당동,28,107,124,1326,18,8,13,54,70,-919,7,0,003
1120010800,응봉동,3,33,8,194,4,4,-12,-20,-46,-2051,-7,-4,NULL
1120010900,금호동1가,7,52,18,315,8,6,-8,-1,-36,-1930,-3,-2,NULL
1120011000,금호동2가,4,30,14,251,4,7,-11,-23,-40,-1994,-7,-1,NULL
1120011100,금호동3가,7,17,22,359,1,5,-8,-36,-32,-1886,-10,-3,NULL
1120011200,금호동4가,10,38,15,416,8,4,-5,-15,-39,-1829,-3,-4,NULL
1120011300,옥수동,8,86,29,565,18,5,-7,33,-25,-1680,7,-3,002
1120011400,성수동1가,30,82,211,1605,34,13,15,29,157,-640,23,5,003
1120011500,성수동2가,43,55,229,2280,31,18,28,2,175,35,20,10,003
1120011800,송정동,6,15,17,290,8,6,-9,-38,-37,-1955,-3,-2,NULL
1120012200,용답동,14,26,33,796,10,8,-1,-27,-21,-1449,-1,0,NULL
1121510100,중곡동,61,205,185,3112,38,43,46,152,131,867,27,35,004
1121510200,능동,22,40,35,495,5,4,7,-13,-19,-1750,-6,-4,001
1121510300,구의동,64,272,202,3076,65,28,49,219,148,831,54,20,004
1121510400,광장동,25,123,78,920,22,12,10,70,24,-1325,11,4,002
1121510500,자양동,68,285,242,3369,46,34,53,232,188,1124,35,26,004
1121510700,화양동,50,54,161,1499,14,10,35,1,107,-746,3,2,003
1121510900,군자동,23,62,77,1058,15,11,8,9,23,-1187,4,3,003
1123010100,신설동,10,29,26,412,4,1,-5,-24,-28,-1833,-7,-7,NULL
